Time,DayOfYear,Hour,O3 (ppb),CO (ppb),NO (ppb),NOx (ppb),CH3OH (ppb),C2H6 (ppb),ETH (ppb),TOL(ppb),XYL (ppb),ALD2 (ppb),AONE (ppb),PAR (ppb),OLET (ppb),Temperature(K),RH,BC (ug/m3),OA (ug/m3),NH4 (ug/m3),NO3 (ug/m3),SO4 (ug/m3),Chi
2010-01-29 00:00:00,29,0,13.231,304.28,1.86,29.2,3.0094330404520804,3.8570358566917182,1.6265697831041084,0.7519716603507606,0.439850443084299,1.4479667362069464,0.7651891272831117,14.93156663521968,0.3141887365459336,277.45,0.89,1.0936,3.90545,0.761224,1.84867,0.851379,0.5741689999999999
2010-01-29 19:00:00,29,19,16.827,262.28,3.8,30.3,2.747222000797364,3.830734929043085,1.2916668001485287,0.9596424161786148,0.6389123933387013,1.4754843776716078,0.7097302008554031,18.29135006843526,0.2744214193202626,276.54999999999995,0.76,1.05337,2.41316,0.267413,0.425003,0.415417,0.473476
2010-01-29 20:00:00,29,20,26.923999999999996,204.9,1.87,23.7,2.8448799421099764,3.4802485745166156,1.1006586237777307,0.9537571439392292,0.6278136002872912,1.4654528796194943,0.6955568642466602,17.165777130442354,0.2733442007949623,275.75,0.74,0.919074,3.5445,0.20618,0.366738,0.289499,0.5593
2010-01-29 21:00:00,29,21,24.659,246.08,2.55,27.9,3.017716839368428,3.919319921617877,1.3608812715239498,0.8394060086696106,0.5229137295622869,1.498026205683224,0.7065778996274558,15.613705510288773,0.3117949176008218,275.34999999999997,0.73,1.04791,4.20779,0.256307,0.586376,0.308568,0.559952
2010-01-29 22:00:00,29,22,27.07,227.72,2.14,21.8,2.989495488618373,3.721436751690068,1.0683387332813967,0.7283424325679353,0.4592395958055682,1.4249637044100811,0.6729833598994073,12.50379970206429,0.2070054932785494,274.75,0.74,0.741349,3.42073,0.282775,0.547732,0.495926,0.527384
2010-01-29 23:00:00,29,23,25.498000000000005,248.42,1.38,20.8,3.1694968577642086,3.9497634862221545,1.2594063212156072,0.72870746942913,0.4430495631231295,1.383145979645709,0.7146312598928354,14.113521964849848,0.2597892010182662,274.65,0.77,0.785725,2.83949,0.323076,0.546537,0.557197,0.504818
2010-01-30 00:00:00,30,0,27.792,231.24,2.06,19.81,3.251714805942228,3.67543421340354,1.3246402178423993,0.8047186465772332,0.4737118727747421,1.376974050784583,0.7484303373936761,13.105087372232632,0.1964726899200571,274.84999999999997,0.71,0.74258,2.38662,0.454685,0.773371,0.72837,0.485401
2010-01-30 01:00:00,30,1,22.178,231.04,1.58,21.2,3.181135966723697,4.3274178319461125,1.4755455889098417,0.7049905671729937,0.5149098515804749,1.3582806536721428,0.7256562788361417,13.517886596770111,0.2070952614889911,274.75,0.7,0.701271,2.48918,0.501881,0.895693,0.865597,0.537199
2010-01-30 02:00:00,30,2,19.325,258.4,2.06,24.2,2.9332007180342172,3.726831813771838,1.0187894893954728,0.6082573110848511,0.4073250687624952,1.2573841419555625,0.8013495961226972,11.816819096980144,0.124029744093609,273.34999999999997,0.83,0.595212,1.95172,0.663839,1.37251,0.982165,0.5322720000000001
2010-01-30 03:00:00,30,3,23.534,219.52,1.58,18.0,2.896471945905727,3.8593961963524928,1.2039159209884451,0.5471335972148494,0.3342632644149398,1.2084779569374824,0.6973081936682415,11.28740490859684,0.1351310794515653,273.54999999999995,0.88,0.549848,1.90551,0.881775,1.89478,1.20264,0.535988
2010-01-30 04:00:00,30,4,18.213,235.34,2.16,21.89,2.9323990692780924,4.356079099255521,1.359217747748404,0.6103885955784598,0.341142469202688,1.273522505060491,0.7974499416003553,14.06669556697721,0.2179871376892501,273.54999999999995,0.86,0.620365,2.43967,1.42382,3.31367,1.67191,0.564214
