Time,DayOfYear,Hour,O3 (ppb),CO (ppb),NO (ppb),NOx (ppb),CH3OH (ppb),C2H6 (ppb),ETH (ppb),TOL(ppb),XYL (ppb),ALD2 (ppb),AONE (ppb),PAR (ppb),OLET (ppb),Temperature(K),RH,BC (ug/m3),OA (ug/m3),NH4 (ug/m3),NO3 (ug/m3),SO4 (ug/m3),Chi
2010-01-17 03:00:00,17,3,33.067,202.74,1.86,7.7,2.7393276048766464,2.275993645549912,0.3108412997735663,0.3692721970351418,0.2603833704000428,1.475597110011144,1.1443728758217997,6.935330688607908,0.1071533205305703,281.54999999999995,0.76,0.240715,0.43219,0.231174,0.211257,0.552985,0.3701319999999999
2010-01-17 14:00:00,17,14,28.028,251.18,4.88,17.69,3.193156497005141,2.6492163331352727,1.340503105273504,0.8138551734014754,0.5349710981479054,1.8254944537968871,1.361703534193198,13.995605710620127,0.2405788039837435,282.84999999999997,0.72,0.653384,2.76132,0.196315,0.238674,0.429489,0.5285070000000001
2010-01-17 15:00:00,17,15,22.746,273.22,3.51,18.76,3.3892032859930787,2.770027187609213,0.98700430296985,0.926943406886922,0.592944648824109,1.9118658908128232,1.4266165917913658,13.959074117138831,0.1756464650975838,282.25,0.73,0.809013,2.2106,0.189546,0.218553,0.473408,0.508096
2010-01-17 16:00:00,17,16,27.724,282.18,3.51,16.8,3.647241042076234,2.707502271697261,0.6209696607861839,0.9736441433131954,0.6163665304880083,1.9480176723162024,1.4703775178041374,15.86574239060882,0.2827698628913402,281.04999999999995,0.81,0.936236,2.30915,0.222029,0.236282,0.46735,0.469664
2010-01-17 17:00:00,17,17,22.041000000000004,291.8,2.46,20.0,3.9642896530931457,3.802507193508106,1.5818328758545872,1.2806611225934983,0.8801538056399527,2.1104107857488006,1.7251864625816913,21.202314341043454,0.3288508775847439,280.15,0.84,1.22981,3.46467,0.230916,0.376517,0.419575,0.55698
2010-01-17 18:00:00,17,18,9.678999999999998,426.74,4.88,37.21,5.193474242943708,6.537273796797175,3.079004273846535,2.2010187983956593,1.3449163459011482,2.7146190141590067,2.726222274537279,34.07482755144558,0.6992345138671789,280.45,0.82,2.96426,6.64001,0.312038,0.716395,0.410583,0.596757
2010-01-17 19:00:00,17,19,6.523000000000001,469.54,8.68,50.49,5.54623891429778,6.036159235755549,2.6339522523244048,2.483039614388334,1.5844134993218446,2.840660387190451,2.4660766336234112,31.90420418096167,0.5623379929435934,279.75,0.86,3.07938,8.28279,0.32724,0.861614,0.308096,0.621488
2010-01-17 20:00:00,17,20,2.881,706.84,39.16,91.0,5.85974807011913,7.044265121892156,3.434166599925735,2.0262096408587853,1.210923246663026,2.8389680324593822,2.069999798179577,30.731115883864657,0.8525885400384083,279.15,0.91,3.123,9.85947,0.34651,1.00564,0.274522,0.677748
2010-01-17 21:00:00,17,21,8.554,417.4,3.81,38.4,5.602571804830892,11.55140595943726,2.6893238294247417,1.9385884698503195,1.1694447553563516,2.684053964084686,2.1158136543317427,46.82573278272918,1.1697994730025458,278.45,0.93,2.20468,8.20104,0.320943,0.920528,0.252067,0.656483
2010-01-17 22:00:00,17,22,2.265,544.16,20.42,65.93,6.082790340221447,9.387215341492617,3.113700626879364,2.065029131273456,1.2020800171610582,2.707527673167335,2.360174323797934,33.70113938110398,0.913690768612389,277.95,0.94,2.83676,9.64192,0.468971,1.28242,0.268267,0.6727150000000001
